timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251118T085247.00-0300,-29.216953,-50.896872,0.02,12,786.40,0.75
20251118T085248.00-0300,-29.216953,-50.896872,0.06,12,786.30,0.75
20251118T085249.00-0300,-29.216952,-50.896872,0.06,12,786.10,0.75
20251118T085250.00-0300,-29.216951,-50.896871,0.17,12,786.30,0.75
20251118T085251.00-0300,-29.216950,-50.896872,0.17,12,786.30,0.75
20251118T085252.00-0300,-29.216949,-50.896871,0.06,12,786.30,0.75
20251118T085253.00-0300,-29.216948,-50.896872,0.13,12,786.30,0.75
20251118T085254.00-0300,-29.216947,-50.896874,0.98,12,786.40,0.75
20251118T085255.00-0300,-29.216947,-50.896875,0.19,12,786.30,0.75
20251118T085256.00-0300,-29.216948,-50.896875,0.50,12,786.60,0.75
20251118T085257.00-0300,-29.216947,-50.896872,0.04,12,786.20,0.75
20251118T085258.00-0300,-29.216946,-50.896871,0.00,12,785.70,0.75
20251118T085259.00-0300,-29.216946,-50.896872,0.39,12,785.30,0.75
20251118T085300.00-0300,-29.216946,-50.896873,0.13,12,785.10,0.75
20251118T085301.00-0300,-29.216945,-50.896874,0.13,12,785.00,0.75
20251118T085302.00-0300,-29.216945,-50.896875,0.09,12,785.00,0.75
20251118T085303.00-0300,-29.216944,-50.896875,0.06,12,784.90,0.75
20251118T085304.00-0300,-29.216944,-50.896876,0.09,12,784.90,0.75
20251118T085306.00-0300,-29.216946,-50.896876,0.02,12,785.10,0.75
20251118T085307.00-0300,-29.216947,-50.896876,0.11,12,785.20,0.75
20251118T085308.00-0300,-29.216947,-50.896877,0.09,12,785.50,0.75
20251118T085309.00-0300,-29.216946,-50.896878,0.11,12,785.70,0.75
20251118T085310.00-0300,-29.216948,-50.896878,0.06,12,785.90,0.75
20251118T085311.00-0300,-29.216948,-50.896878,0.02,12,786.10,0.75
20251118T085312.00-0300,-29.216949,-50.896878,0.07,12,786.80,0.77
20251118T085313.00-0300,-29.216949,-50.896878,0.04,12,787.00,0.75
20251118T085314.00-0300,-29.216950,-50.896877,0.02,12,787.10,0.75
20251118T085315.00-0300,-29.216950,-50.896877,0.04,12,787.20,0.75
20251118T085316.00-0300,-29.216950,-50.896877,0.04,12,787.20,0.75
20251118T085317.00-0300,-29.216950,-50.896877,0.00,12,787.30,0.75
